,global_unique_identifier,last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,species_comments,v47,pelagic,legit,duplicate
519,URN:CornellLabOfOrnithology:EBIRD:OBS256542683,15:29.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Washington,US-WA,Clallam,US-WA-009,,NA,,,Offshore survey - transect 81,L2879385,P,48.473372,-124.764378,2014-05-02,7:10:00,obsr267011,S18564081,Traveling,P22,EBIRD,20,9.656,NA,15,1,,0,1,0,,"Observations made from MS Westerdam on cruise from San Diego, CA to Vancouver, BC.",,NA,TRUE,1,
513,URN:CornellLabOfOrnithology:EBIRD:OBS261730520,27:25.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Oregon,US-OR,Curry,US-OR-015,,NA,,,Oregon Offshore Waters,L2949729,P,42.72496,-125.11979,2014-06-02,11:30:00,obsr131591,S18945212,eBird Pelagic Protocol,P60,EBIRD,60,41.682,NA,2,1,,0,1,0,,Paul Lehman and Bruce Rideout observers,Found on the wires above the upper deck of the ship (Star Princess),NA,TRUE,1,
873,URN:CornellLabOfOrnithology:EBIRD:OBS317666026,33:24.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Washington,US-WA,Clallam,US-WA-009,US-WA_3348,NA,,,"47.9003x-125.2623 - May 8, 2015, 12:25 PM",L3626726,P,47.900318,-125.262344,2015-05-08,12:25:00,obsr228041,S23333272,Traveling,P22,EBIRD,62,19.312,NA,15,1,G1262946,0,1,0,,"Holland America cruise <br />Submitted from BirdLog NA for iOS, version 1.8",May have been on ship for the entire trip,NA,TRUE,1,
46,URN:CornellLabOfOrnithology:EBIRD:OBS322650346,20:06.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,Canada,CA,British Columbia,CA-BC,Skeena-Queen Charlotte,CA-BC-SQ,,NA,,,Princess Cruise 051415 1600,L3669925,P,51.845123,-132.341006,2015-05-14,16:00:00,obsr90300,S23617996,Traveling,P22,EBIRD,60,38.945,NA,7,1,,0,1,0,,from cruise ship; bearing 337 degrees from location lat/long; checklist following eBird pelagic protocol,,NA,TRUE,1,
3,URN:CornellLabOfOrnithology:EBIRD:OBS323059294,39:28.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,Canada,CA,British Columbia,CA-BC,Central Coast,CA-BC-CC,,NA,,,Queen Charlotte Sound,L2357800,H,51.6111946,-129.4793701,2015-05-17,11:15:00,obsr450446,S23643692,Incidental,P20,EBIRD,NA,NA,NA,2,0,,0,1,0,,"Seen on the rear deck of the cruise ship ""Noordam""",,NA,TRUE,1,
514,URN:CornellLabOfOrnithology:EBIRD:OBS326250514,06:55.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Oregon,US-OR,Curry,US-OR-015,,NA,,,Princess Cruise 052115 1100,L3713005,P,42.472395,-125.089229,2015-05-21,11:00:00,obsr90300,S23862136,Traveling,P22,EBIRD,90,65.016,NA,7,1,,0,1,0,,from cruise ship; bearing 180 degrees from start lat/long; following eBird pelagic protocol; encountered fleet of fishing trawlers during this transect; transect length modified from 60 min to 90 min to adjust for OR/CA state boundary; passerines observed on sun deck during quick lap.,,NA,TRUE,1,
498,URN:CornellLabOfOrnithology:EBIRD:OBS397640584,37:24.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Santa Barbara,US-CA-083,US-CA_4690,NA,,,"34.444x-120.888 - May 2, 2016 2:47 PM",L4557089,P,34.4440273,-120.8882672,2016-05-01,7:30:00,obsr296388,S29362793,eBird Pelagic Protocol,P60,EBIRD,30,10.461,NA,1,1,,0,1,0,,Birding from the Norwegian Pearl. <br />Submitted from eBird Android 1.0.4,Flew along the ship. Two seen later above the pool.,NA,TRUE,1,
52,URN:CornellLabOfOrnithology:EBIRD:OBS398613749,06:59.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Humboldt,US-CA-023,,NA,,,"40.636x-125.021 - May 5, 2016 12:03 PM",L4564988,P,40.6362777,-125.0207723,2016-05-03,6:00:00,obsr296388,S29422271,Traveling,P22,EBIRD,30,18.507,NA,1,1,,0,1,0,,Birding from the Norwegian Pearl.Â <br />Submitted from eBird Android 1.0.4,Riding the ship.,NA,TRUE,1,
530,URN:CornellLabOfOrnithology:EBIRD:OBS407253279,48:45.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,9,,,,United States,US,California,US-CA,Marin,US-CA-041,,NA,,,Offshore  California Hour 1 of 1,L4640570,P,37.77276,-122.63134,2016-05-11,18:30:00,obsr131591,S29911108,eBird Pelagic Protocol,P60,EBIRD,60,29.934,NA,2,1,G1799638,0,1,0,,"Princess Cruise round trip San Francisco to Alaska, day 1 northbound, Paul Lehman (with 9-person Wings tour group) and Bruce Rideout observers. Two BFAL seen much closer to shore than expected.",,NA,TRUE,1,
51,URN:CornellLabOfOrnithology:EBIRD:OBS402231268,34:22.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,3,,,,United States,US,California,US-CA,Del Norte,US-CA-015,,NA,,,"off Del Norte County, CA",L2885571,P,41.506,-125.515,2016-05-12,7:00:00,obsr50748,S29624364,Traveling,P22,EBIRD,20,8.047,NA,11,0,,0,1,0,,"1114-120 km WSW of Pt. St. George, from Grand Princess cruise ship",,NA,TRUE,1,
